Year,Minggu 1,Minggu 2,Minggu 3,Minggu 4,Minggu 5,Minggu 6,Minggu 7,Minggu 8,Minggu 9,Minggu 10,Minggu 11,Minggu 12,Minggu 13,Minggu 14,Minggu 15,Minggu 16,Minggu 17,Minggu 18,Minggu 19,Minggu 20,Minggu 21,Minggu 22,Minggu 23,Minggu 24,Minggu 25,Minggu 26,Minggu 27,Minggu 28,Minggu 29,Minggu 30,Minggu 31 ,Minggu 32,Minggu 33,Minggu 34,Minggu 35,Minggu 36,Minggu 37,Minggu 38,Minggu 39,Minggu 40,Minggu 41,Minggu 42,Minggu 43,Minggu 44,Minggu 45,Minggu 46,Minggu 47,Minggu 48,Minggu 49,Minggu 50,Minggu 51,Minggu 52
2010,,,,,,,,1121,1074,1030,898,797,823,886,914,885,790,760,766,834,789,814,891,942,938,1051,1061,1043,1071,1101,987,952,1074,1159,1144,898,803,973,913,911,934,888,807,681,684,590,629,600,498,524,519,487
2011,521,596,489,493,372,391,420,430,393,402,357,301,336,356,398,396,362,334,382,384,388,369,359,375,426,414,448,383,383,377,343,362,365,302,176,311,325,330,324,316,340,369,407,366,367,417,437,358,486,522,429,350
2012,440,481,459,488,545,513,585,602,567,504,480,477,466,431,463,450,453,405,393,405,396,349,354,357,367,364,364,360,319,325,371,379,332,298,372,354,338,344,390,389,337,391,390,421,411,350,415,476,467,536,521,456
2013,446,589,545,519,461,493,408,477,433,390,461,495,440,442,392,422,500,463,451,503,508,564,509,575,658,715,625,643,629,645,655,531,690,824,824,741,843,946,1149,,,1408,1680,1547,1416,1592,1626,1633,1677,1524,2004,2120
2014,1039,1946,2156,2229,,2197,2265,2468,2052,1630,1902,1666,,,1313,1252,974,1133,1256,1279,,1755,1586,1797,2021,,,,,,2034,2980,3070,2812,2472,2193,2266,1732,2281,2140,1822,2160,1944,2083,2041,2196,2400,2291,2435,2533,2949,2701
2015,2633,2913,2956,3500,3037,3312,2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
